No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
588,イイダコ,60,42,8.76,0.48,0.06
589,ナマコ,160,37,7.36,0.48,0.8
590,クラゲ,140,31,7.28,0.14,0
591,タラバガニ,45,27,5.85,0.14,0.09
592,ブラックタイガー,26,21,4.78,0.08,0.08
593,オキアミ,20,19,3,0.64,0.04
594,ホタルイカ,20,17,2.36,0.7,0.04
595,サザエの刺身,18,16,3.49,0.07,0.14
596,ほや,46,14,2.3,0.37,0.37
597,甘えび,15,13,2.97,0.05,0.02
598,ウニ,10,12,1.6,0.48,0.33
599,シバエビ,9,7,1.68,0.04,0.01
600,和牛の脂身,100,818,2.1,86,0
601,和牛牛肉,100,517,11,50,0.1
602,和牛サーロイン,100,498,11.7,47.5,0.3
603,和牛リブロース,100,468,12.7,44,0.2
604,和牛肩ロース,100,411,13.8,37.4,0.2
605,牛肉,100,371,14.4,32.9,0.2
606,和牛ランプ,100,347,15.1,29.9,0.4
607,和牛リブロース赤肉,100,331,16.8,27.5,0.3
608,ギアラ,100,329,11.1,30,0
609,和牛肩ロース赤肉,100,316,16.5,26.1,0.2
610,イノブタ肉,100,304,18.1,24.1,0.3
611,牛肉サーロイン,100,298,17.4,23.7,0.4
612,牛ホルモン小腸,100,287,9.9,26.1,0
613,和牛肩肉,100,286,17.7,22.3,0.3
614,牛タン,100,269,15.2,21.7,0.1
615,猪肉,100,268,18.8,19.8,0.5
616,和牛外もも肉,100,265,17.8,20,0.5
617,牛肉リブロース,100,263,18.5,19.5,0.3
618,和牛もも肉,100,246,18.9,17.5,0.5
619,牛肉かたロース,100,240,17.9,17.4,0.1
620,牛肉ランプ,100,234,18.4,16.4,0.4
621,牛ひき肉,100,224,19,15.1,0.5
622,和牛ヒレ,100,223,19.1,15,0.3
623,牛肉外もも,100,215,18.7,14.3,0.3
624,和牛ランプ赤肉,100,211,19.2,13.6,0.5
625,和牛肩肉赤肉,100,201,20.2,12.2,0.3
626,牛ハチノス,100,200,12.4,15.7,0
627,和牛もも肉赤肉,100,191,20.7,10.7,0.6
628,牛肉もも,100,182,21.2,9.6,0.5
629,ミノ,100,182,24.5,8.4,0
630,牛肉かた,100,180,19,10.6,0.1
631,牛肉リブロース赤肉,100,174,21.1,8.9,0.4
632,牛肉かたロース赤肉,100,173,19.7,9.5,0.1
633,和牛外もも赤肉,100,172,20.7,8.7,0.6
634,牛ホルモン大腸,100,162,9.3,13,0
635,和牛サーロイン赤肉,50,159,8.55,12.9,0.2
636,牛スジ,100,155,28.3,4.9,0
637,ウサギ肉,100,146,20.5,6.3,0
638,牛ハツ,100,142,16.5,7.6,0.1
639,牛肉サーロイン赤肉,100,136,22,4.4,0.5
640,牛ヒレ,100,133,20.5,4.8,0.3
641,牛レバー,100,132,19.6,3.7,3.7
642,牛マメ,100,131,16.7,6.4,0.2
643,牛肉かた赤肉,100,130,20.4,4.6,0.1
644,牛肉外もも赤肉,100,127,21.2,3.9,0.3
645,仔牛肉,100,122,20.9,3.6,0
646,牛肉ランプ赤肉,100,121,21.6,3,0.5
647,牛テッポウ,100,115,11.6,7,0
648,牛コブクロ,100,106,18.4,3,0
649,牛肉もも赤肉,50,70,11.25,2.3,0.25
650,鯨本皮,100,689,9.7,68.8,0.2
651,牛テール,100,492,11.6,47.1,0
652,アヒル肉,100,450,12.2,42.3,0.1
653,豚肉中型種,100,434,13.4,40.1,0
654,豚肉,100,386,14.2,34.6,0.1
655,合鴨,100,333,14.2,29,0.1
656,豚ロース中型種,100,291,18.3,22.6,0.2
657,豚レバー,220,282,44.88,7.48,5.5
658,豚外もも中型種,100,268,18,20.3,0.2
659,豚ロース,100,263,19.3,19.2,0.2
660,豚肩ロース中型種,100,256,17.7,19.3,0
661,豚肩ロース,100,253,17.1,19.2,0.1
662,豚肩肉中型種,100,239,18.3,17.2,0
663,豚外もも,100,235,18.8,16.5,0.2
664,ラム肩,100,233,17.1,17.1,0.1
665,豚軟骨,100,231,17.8,17.9,0
666,豚足,100,230,20.1,16.8,0
667,ラム,100,227,18,16,0.1
668,豚もも肉中型種,100,225,19.5,15.1,0.2
669,マトンもも,100,224,18.8,15.3,0.1
670,豚挽き肉,100,221,18.6,15.1,0
671,豚タン,100,221,15.9,16.3,0.1
672,ラムもも,100,217,19,14.4,0.2
673,豚肩肉,100,216,18.5,14.6,0.2
674,うずら肉,100,208,20.5,12.9,0.1
675,豚もも肉,100,183,20.5,10.2,0.2
676,豚もつ,100,179,11.7,13.8,0
677,豚ホルモン,100,171,14,11.9,0
678,豚肩ロース赤肉,100,157,19.7,7.8,0.1
679,豚肩ロース中型種赤肉,100,151,20.6,6.8,0
680,豚ロース赤肉,100,150,22.7,5.6,0.3
681,豚外もも赤肉,100,143,21.4,5.5,0.2
682,豚もも肉中型種赤肉,100,143,21.9,5.3,0.2
683,豚ロース中型種赤肉,100,141,22.9,4.6,0.2
684,豚外もも中型種赤肉,100,138,21.9,4.8,0.2
685,豚ハツ,100,135,16.2,7,0.1
686,豚もも肉赤肉,100,128,22.1,3.6,0.2
687,鴨肉,100,128,23.6,3,0.1
688,豚肩肉赤肉,100,125,20.9,3.8,0.2
689,豚肩肉中型種赤肉,100,123,21.4,3.5,0
690,ガツ,100,121,17.4,5.1,0
691,豚ヒレ,100,115,22.8,1.9,0.2
692,豚マメ,100,114,14.1,5.8,0
693,豚ヒレ中型種,100,112,22.7,1.7,0.1
694,馬肉,100,110,20.1,2.5,0.3
695,シカ肉,100,110,22.3,1.5,0.5
696,ヤギ肉,100,107,21.9,1.5,0.2
697,牛コブクロ,100,106,18.4,3,0
698,鯨肉,100,106,24.1,0.4,0.2
699,マトン,30,71,5.37,5.1,0.03
700,スペアリブ,186,634,21.82,51.99,10.75
701,蜂の子,100,250,16.2,7.2,30.2
702,手羽,100,211,17.5,14.6,0
703,鶏ハツ,100,207,14.5,15.5,0
704,鶏肉,100,200,16.2,14,0
705,鶏皮,40,199,3.8,19.44,0
706,すっぽん,100,197,16.4,13.4,0.5
707,鶏胸肉,100,191,19.5,11.6,0
708,鶏ひき肉,100,166,20.9,8.3,0
709,鳩肉,100,141,21.8,5.1,0.3
710,すずめ,100,132,18.1,5.9,0.1
711,鴨肉,100,128,23.6,3,0.1
712,手羽元,60,118,10.92,7.68,0
713,鶏モモ肉皮無し,100,116,18.8,3.9,0
714,鶏レバー,100,111,18.9,3.1,0.6
715,きじ肉,100,108,23,1.1,0.1
716,鶏胸肉皮無し,100,108,22.3,1.5,0
717,七面鳥,100,106,23.5,0.7,0.1
718,ほろほろ鳥,100,105,22.5,1,0.2
719,蛙肉,100,99,22.3,0.4,0.3
720,砂肝,80,75,14.64,1.44,0
721,鶏軟骨,100,54,12.5,0.4,0.4
722,ささみ,43,45,9.89,0.34,0
723,バタークリーム,210,1163,5.19,100.97,55.36
724,生クリーム,210,909,4.2,94.5,6.51
725,ホイップクリーム,200,844,3.4,76.6,35.2
726,ゴーダチーズ,200,760,51.6,58,2.8
727,クリームチーズ,200,692,16.4,66,4.6
728,粉ミルク,90,463,11.16,24.12,50.31
729,バナナアイス,199.6,359,6.59,20.78,37.66
730,ブルーチーズ,100,349,18.8,29,1
731,スキムミルク,90,323,30.6,0.9,47.97
732,カマンベールチーズ,100,310,19.1,24.7,0.9
733,モッツアレラ,100,276,18.4,19.9,4.2
734,カッテージチーズ,200,210,26.6,9,3.8
735,飲むヨーグルト,216,140,6.26,1.08,26.35
736,バナナヨーグルト,190,139,4.6,3.17,25.16
737,牛乳,206,138,6.8,7.83,9.89
738,生乳,200,132,6.4,7.4,9.4
739,エメンタールチーズ,25,107,6.83,8.4,0.4
740,低脂肪乳,208,96,7.9,2.08,11.44
741,卵,60,91,7.38,6.18,0.18
742,ゆで卵,60,91,7.74,6,0.18
743,エダムチーズ,25,89,7.23,6.25,0.35
744,チェダーチーズ,20,85,5.14,6.76,0.28
745,レーズンバター,13,84,0.1,8.3,1.63
746,ホイップバター,13,76,0.17,8.2,0.21
747,ヨーグルト,120,74,4.32,3.6,5.88
748,烏骨鶏卵,40,70,4.8,5.2,0.16
749,コンデンスミルク,20,66,1.56,1.66,11.26
750,母乳,101.7,66,1.12,3.56,7.32
751,卵黄,17,66,2.81,5.7,0.02
752,やぎ乳,100,63,3.1,3.6,4.5
753,プロセスチーズ,18,61,4.09,4.68,0.23
754,低脂肪無糖ヨーグルト,120,54,4.44,1.2,6.24
755,メープルバター,13,54,0.04,3.48,5.78
756,ハニーバター,13,53,0.22,4.95,1.69
757,無脂肪無糖ヨーグルト,120,50,4.8,0.36,6.84
758,乳酸菌飲料,70,50,0.77,0.07,11.48
759,チーズスプレッド,12,37,1.91,3.08,0.07
760,梨ジャム,21,30,0.05,0.01,7.83
761,マスカルポーネ,10,29,0.44,2.82,0.43
762,エバミルク,20,29,1.36,1.58,2.24
763,パルメザン,6,29,2.64,1.85,0.11
764,カゼイン,7,26,6.03,0.11,0
765,コーヒークリーム,5,26,0.39,1.38,3.01
766,ホエイパウダー,7,25,0.88,0.08,5.39
767,うずらの卵,13,23,1.64,1.7,0.04
768,卵白,38,18,3.99,0,0.15
769,メレンゲ,38,18,3.99,0,0.15
770,リコッタ,10,16,0.71,1.15,0.67
771,ココナッツミルク,410,615,7.79,65.6,11.48
772,みりん,117,282,0.35,0,50.54
773,牛脂,20,188,0.04,19.96,0
774,ラード,12,113,0,12,0
775,オリーブオイル,12,111,0,12,0
776,ごま油,12,111,0,12,0
777,米ぬか油,12,111,0,12,0
778,紅花油,12,111,0,12,0
779,大豆油,12,111,0,12,0
780,サラダ油,12,111,0,12,0
781,コーン油,12,111,0,12,0
782,なたね油,12,111,0,12,0
783,パーム油,12,111,0,12,0
784,パーム核油,12,111,0,12,0
785,ひまわり油,12,111,0,12,0
786,綿実油,12,111,0,12,0
787,ココナッツオイル,12,111,0,12,0
788,落花生油,12,111,0,12,0
789,ショートニング,12,111,0,12,0
790,ラー油,12,110,0.01,11.98,0
791,無塩バター,12,92,0.06,9.96,0.02
792,マーガリン,12,91,0.05,9.79,0.14
793,バター,12,89,0.07,9.72,0.02
794,梅びしお,40,80,0.28,0.2,19.24
795,ピーナッツバター,12,77,3.05,6.08,2.46
796,ファットスプレッド,12,76,0.05,8.16,0.08
797,あんずジャム,21,55,0.06,0.02,13.63
798,いちごジャム,21,54,0.08,0.02,13.29
799,マーマレード,21,54,0.04,0.02,13.27
800,リンゴジャム,21,45,0.04,0.02,11.07
801,低糖度あんずジャム,21,43,0.08,0.02,10.61
802,低糖度いちごジャム,21,41,0.11,0.02,10.16
803,低糖度マーマレード,21,41,0.06,0.02,10.02
804,ぶどうジャム,21,41,0.11,0.02,9.98
805,ブルーベリージャム,21,38,0.15,0.06,9.2
806,ゼラチン,11,38,9.64,0.03,0
807,中濃ソース,17,22,0.14,0.02,5.24
808,濃厚ソース,17,22,0.15,0.02,5.25
809,たまり醤油,18,20,2.12,0,2.86
810,ウスターソース,17,20,0.17,0.02,4.56
811,再仕込み醤油,18,18,1.73,0,2.86
812,白醤油,18,16,0.45,0,3.46
813,醤油,18,13,1.39,0,1.82
814,豆板醤,18,11,0.36,0.41,1.42
815,薄口醤油,18,10,1.03,0,1.4
816,米酢,15,7,0.03,0,1.11
817,りんご酢,15,4,0.02,0,0.36
818,酢,15,4,0.02,0,0.36
819,ぶどう酢,15,3,0.02,0,0.18
820,タバスコ,5,3,0.04,0.03,0.26
821,酒粕,300,681,44.7,4.5,71.4
822,ミートソース,295,298,11.21,14.75,29.8
823,チリソース,220,253,3.96,0.22,57.86
824,トマトペースト,210,187,7.98,0.21,46.2
825,トマトソース,295,130,5.9,0.59,25.08
826,カレールー,20,102,1.3,6.82,8.94
827,ハヤシルー,20,102,1.16,6.64,9.5
828,めんつゆ,200,88,4.4,0,17.4
829,トマトピューレ,210,86,3.99,0.21,20.79
830,マヨネーズ,12,84,0.18,9.04,0.54
831,マヨネーズ卵黄型,12,80,0.34,8.68,0.2
832,サウザンアイランドドレッシング,15,62,0.15,6.21,1.38
833,フレンチドレッシング,15,61,0.02,6.29,0.89
834,からし,18,57,1.06,2.61,7.22
835,みりん風調味料,19,43,0.02,0,10.43
836,粒入りマスタード,18,41,1.37,2.88,2.29
837,味噌,18,39,1.75,0.54,6.82
838,豆味噌,18,39,3.1,1.89,2.61
839,麦味噌,18,36,1.75,0.77,5.4
840,淡色辛味噌,18,35,2.25,1.08,3.94
841,麻婆豆腐の素,30,35,1.26,1.89,3.12
842,赤色辛味噌,18,33,2.36,0.99,3.8
843,マスタード,18,31,0.86,1.91,2.36
844,風味調味料,12,27,2.9,0.04,3.73
845,粉からし,6,26,1.98,0.86,2.62
846,クローブ,6,25,0.43,0.82,3.98
847,カレー粉,6,25,0.78,0.73,3.8
848,オールスパイス,6,22,0.34,0.34,4.51
849,オニオンパウダー,6,22,0.53,0.07,4.79
850,オイスターソース,18,19,1.39,0.05,3.29
851,ケチャップ,15,18,0.26,0,4.11
852,鶏がらスープ,200,14,2.2,0.4,0
853,和風ドレッシング,17,14,0.53,0.02,2.74
854,洋風だし,200,12,2.6,0,0.6
855,コンソメ,5,12,0.35,0.22,2.11
856,昆布だし,200,8,0.2,0,1.8
857,シイタケだし,200,8,0.2,0,1.8
858,セージ,2,8,0.13,0.2,1.34
859,白こしょう,2,8,0.2,0.13,1.4
860,山椒,2,8,0.21,0.12,1.39
861,こしょう,2,7,0.21,0.12,1.37
862,しょうが粉,2,7,0.16,0.1,1.45
863,黒こしょう,2,7,0.22,0.12,1.33
864,シナモン,2,7,0.07,0.07,1.59
865,タイム,2,7,0.13,0.1,1.4
866,かつおだし,200,6,1,0.2,0
867,中華だし,200,6,1.6,0,0
868,かつお昆布だし,200,4,0.6,0,0.6
869,りんご酢,15,4,0.02,0,0.36
870,煮干しだし,200,2,0.2,0.2,0
871,ホワイトソース,200.3,294,6.83,20.41,19.31
872,デミグラスソース,124.1,204,4.8,14.74,7.69
873,バジルソース,15,95,0.86,9.76,0.41
874,オランデーズソース,12,66,0.38,6.91,0.14
875,バーニャカウダソース,12,63,0.71,6.14,0.83
876,ランチドレッシング,15,62,0.38,6.46,0.95
877,タテギ,17.8,61,1.07,3.96,4.92
878,サワークリーム,15,58,0.33,5.96,0.5
879,レモンカード,14,49,0.39,2.39,6.46
880,コチュジャン,18,46,1.39,0.63,9.09
881,タルタルソース,15,43,0.87,3.31,1.14
882,ヤンニョム,21.3,42,1.28,1.45,6.03
883,キャラメルソース,15,36,0,0,9.3
884,にんじんドレッシング,14.8,35,0.23,2.4,2.78
885,レフォールソース,14.7,34,0.42,2.99,1.42
886,わさびドレッシング,15.1,32,0.53,2.3,1.22
887,焼肉のたれ,17,32,0.69,1.79,2.95
888,たまねぎドレッシング,14.5,30,0.19,2,2.18
889,酢味噌,17.3,29,0.95,0.29,5.38
890,ドライイースト,9,28,3.34,0.61,3.88
891,照り焼きソース,16,27,0.38,0,4.86
892,揚げ玉,5,26,0.3,2.16,1.29
893,柚子胡椒,18,24,0.85,0.64,4.43
894,粉わさび,6,23,0.99,0.26,4.18
895,ねぎ味噌,13.1,22,0.5,0.64,3.16
896,三杯酢,17,19,0.49,0,3.32
897,生姜ジャム,10.4,19,0.05,0.02,4.92
898,苺シロップ,14.8,19,0.09,0.01,5.1
899,スイートチリソース,18,18,0.08,0.02,4.15
900,ステーキソース,18,17,0.47,0.1,3.23
901,練りわさび,6,16,0.2,0.62,2.39
902,甘酢,17,16,0.01,0,3.86
903,ベーキングパウダー,12,15,0,0.14,3.48
904,ピザソース,15,12,0.14,1.04,0.72
905,にんじんジャム,20.3,12,0.08,0.01,3.22
906,ねぎ塩だれ,9.2,12,0.16,1.13,0.72
907,ナツメグ,2,11,0.11,0.77,0.95
908,ポン酢,18,10,0.66,0.02,1.88
909,生イースト,9,9,1.49,0.14,1.09
910,塩ヨーグルト,15,9,0.53,0.44,0.73
911,チリペッパー,2,8,0.32,0.19,1.34
912,バーベキューソース,14.9,8,0.15,0.02,2.14
913,南蛮酢,15,8,0.31,0.01,1.52
914,パプリカ粉,2,8,0.31,0.23,1.11
915,ガーリックパウダー,2,8,0.4,0.02,1.48
916,チリパウダー,2,7,0.3,0.16,1.2
917,タイム,2,7,0.13,0.1,1.4
918,トマト味噌,14,7,0.19,0.05,1.28
919,おろしにんにく,4,7,0.19,0.02,1.48
920,乾燥パセリ,2,7,0.57,0.04,1.03
921,トマトクリームソース,100,76,1.09,5.42,6.02
922,味噌マヨネーズ,12,70,0.43,6.87,1.55
923,明太マヨネーズ,12,55,1.16,5.44,0.47
924,豆乳マヨネーズ,12,48,0.18,5.1,0.2
925,栗ジャム,21,47,0.46,0.08,11.36
926,フレッシュトマトソース,100,44,0.99,2.11,6.05
927,トマトバジルソース,100,44,1.02,2.12,6.02
928,チョコレートソース,10,39,0.49,2.72,2.99
929,バナナジャム,21,38,0.15,0.03,9.98
930,さつまいもジャム,21.1,37,0.14,0.02,9.45
931,金柑ジャム,21,36,0.07,0.1,9.29
932,バナナシロップ,15,34,0.08,0.01,8.81
933,マンゴージャム,21,34,0.08,0.01,8.91
934,さくらんぼジャム,21,34,0.14,0.03,8.97
935,梅ジャム,21,34,0.09,0.07,8.87
936,ブルーベリーシロップ,15,33,0.04,0.01,8.41
937,キウイシロップ,15,33,0.08,0.01,8.45
938,ぶどうシロップ,15,33,0.03,0.01,8.62
939,ザクロシロップ,15,33,0.02,0,8.6
940,パイナップルジャム,21,33,0.08,0.01,8.72
941,キウイジャム,21,33,0.14,0.01,8.73
942,いちじくジャム,21,33,0.08,0.01,8.84
943,プルーンジャム,21,33,0.1,0.01,8.61
944,柚子ジャム,21,33,0.13,0.05,8.54
945,あんずシロップ ,15,32,0.08,0.02,8.08
946,グレープフルーツシロップ,15,32,0.07,0.01,8.16
947,オレンジシロップ,15,32,0.05,0.01,8.3
948,すももジャム,21,32,0.08,0.14,8.17
949,びわジャム,21,32,0.04,0.01,8.33
950,ラズベリージャム,21,32,0.15,0.01,8.28
951,グレープフルーツジャム,21,31,0.12,0.01,8.19
952,レモンジャム,21,31,0.06,0.03,8.14
953,レモンシロップ,15,31,0.03,0.02,8.09
954,梅シロップ,15,31,0.05,0.04,8.03
955,桃ジャム,21,30,0.08,0.01,7.88
956,クリームチーズソース,15,29,0.71,2.6,0.58
957,レモンソース,15,24,0.06,1.33,3.15
958,パセリソース,8.4,22,0.31,1.96,0.62
959,リンゴバター,13.4,22,0.03,1.14,3.34
960,ヨーグルトソース,14.9,21,0.44,1.65,0.93
961,オレンジソース,15,21,0.05,0.33,4.79
962,ブルーベリーソース,15,21,0.04,0.01,5.43
963,生姜シロップ,15.3,20,0.05,0.02,4.99
964,ラズベリーソース,14.9,20,0.08,0.01,5.22
965,グレープフルーツソース,14.9,20,0.06,0.01,5.18
966,イチゴソース,14.9,19,0.06,0.01,5.1
967,生姜ジャム,10.4,19,0.05,0.02,4.92
968,柿ジャム,21,19,0.07,0.04,4.96
969,レモンジンジャーシロップ,14.4,18,0.04,0.01,4.62
970,梅肉ソース,14.5,11,0.19,0.02,2.68
971,塩麹,199.4,297,6.02,1.77,61.57
972,柿ソース,119.2,114,0.42,4.24,16.09
973,あまに油,12,111,0,12,0
974,えごま油,12,111,0,12,0
975,りんごソース,98.95,86,0.19,0.08,19.21
976,イタリアンドレッシング,14.8,85,0.03,9.01,0.25
977,レモンドレッシング,15,84,0.06,8.93,0.7
978,シーザーサラダドレッシング,15,77,1.17,7.34,1.59
979,からしマヨネーズ,12,69,0.36,6.6,1.96
980,わさびマヨネーズ,12,67,0.25,6.43,1.95
981,練りごま,10,64,1.9,6.1,1.56
982,くるみ味噌,18,63,1.24,2.7,8.28
983,柚子胡椒ドレッシング,15,61,0.3,5.64,1.89
984,ブルーチーズドレッシング,15,59,1.46,5.54,0.56
985,オーロラソース,15,59,0.25,5.27,2.51
986,たらこマヨネーズ,12,56,1.31,5.51,0.34
987,明太マヨネーズ,12,55,1.16,5.44,0.47
988,ハニーマスタード,19.5,52,0.7,1.44,9.51
989,味噌ドレッシング,15.3,52,0.58,3.98,3.27
990,南蛮味噌,18,52,1,1.85,7.17
991,ナンプラー,100,48,9.1,0.1,2.7
992,鯛味噌,17.9,43,1.8,0.74,6.74
993,味噌だれ,17,42,0.69,0.21,8.26
994,白子ポン酢,72.2,42,7.4,0.44,2.22
995,中華ドレッシング,14.9,39,0.75,3.2,1.78
996,ごまドレッシング,14.6,35,0.81,1.82,3.8
997,低カロリーマヨネーズ,12,34,0.35,3.4,0.4
998,からし酢味噌,17.3,33,0.96,0.63,5.61
999,葉唐辛子味噌,18.3,33,0.86,0.53,5.74
1000,柚子味噌,18.1,30,0.82,0.25,6.01
1001,ごまだれ,14.9,28,1.06,1.04,3.86
1002,顆粒中華だし,12,25,1.51,0.19,4.39
1003,豆腐マヨネーズ,12,21,0.63,1.9,0.16
1004,かぼす胡椒,18,20,0.76,0.59,3.78
1005,青じそドレッシング,15.2,19,0.51,1.1,1.66
1006,サルサソース,61.85,15,0.52,0.12,3.82
1007,かぼすポン酢,15,11,0.43,0.01,2.03
1008,二杯酢,17,10,0.66,0,1.06
1009,おろしポン酢,18,7,0.35,0.02,1.28
1010,焼酎,200,412,0,0,0
1011,キュラソー,105,338,0,0,27.72
1012,ペパーミントリキュール,104,314,0,0,39.1
1013,マオタイ酒,93,299,0,0,0
1014,白酒,121,288,2.3,0,58.2
1015,ジン,94,267,0,0,0.09
1016,紹興酒,200,254,3.4,0,10.2
1017,ウォッカ,95,228,0,0,0
1018,ラム酒,95,228,0,0,0.1
1019,ブランデー,95,225,0,0,0
1020,スタウトビール,354,223,1.77,0,17.35
1021,バレンシアオレンジジュース,522,219,4.18,0,57.42
1022,オレンジジュース,522,214,2.61,0.52,55.33
1023,養命酒,109,198,0,0,29.21
1024,日本酒,180,196,0.72,0,8.82
1025,本直し,103,186,0.1,0,14.83
1026,黒ビール,354,163,1.42,0,12.74
1027,梅酒,104,162,0.1,0,21.53
1028,ベルモット,105,160,0.11,0,17.22
1029,発泡酒,354,159,0.35,0,12.74
1030,ビール,354,142,1.06,0,10.97
1031,スイートワイン,104,138,0.1,0,13.94
1032,調製豆乳,206,132,6.59,7.42,9.89
1033,麦芽コーヒー,206,124,4.53,4.53,16.07
1034,コーヒー牛乳,210,118,4.62,4.2,15.12
1035,ドライベルモット,100,117,0.1,0,3.7
1036,合成酒,100,109,0.1,0,5.3
1037,フルーツ牛乳,210,97,2.52,0.42,20.79
1038,豆乳,206,95,7.42,4.12,6.39
1039,ウィスキー,29,69,0,0,0
1040,ココナッツウォーター,310,62,0.62,0.31,15.5
1041,ロゼワイン,80,62,0.08,0,3.2
1042,白ワイン,80,58,0.08,0,1.6
1043,赤ワイン,80,58,0.16,0,1.2
1044,ぶどうジュース,100,55,0.3,0.2,14.5
1045,グアバジュース,100,51,0.1,0.1,12.3
1046,梅ジュース,100,49,0,0,12.3
1047,シークヮーサージュース,100,48,0.1,0,11.8
1048,桃ジュース,100,48,0.2,0.1,11.6
1049,リンゴジュース,105,46,0.21,0.11,12.39
1050,アセロラジュース,100,42,0.1,0,10.5
1051,パイナップルジュース,100,41,0.3,0.1,11
1052,グレープフルーツジュース,100,40,0.6,0.1,10.3
1053,にんじんジュース,103,29,0.62,0.1,6.9
1054,トマトジュース,103,18,0.72,0.1,4.12
1055,玉露茶,100,5,1.3,0,0
1056,煎茶,100,2,0.2,0,0.2
1057,かまいり茶,100,0,0.1,0,0
1058,番茶,100,0,0,0,0.1
1059,ほうじ茶,100,0,0,0,0.1
1060,牛乳焼酎,350,431,6.93,7.98,10.08
1061,タピオカココナッツミルク,214.1,310,4.82,18.11,35.01
1062,緑茶ハイ,350,291,0.42,0,0.42
1063,ウーロンハイ,350,287,0,0,0.21
1064,ラッシー,277,230,8.45,9.11,29.31
1065,バナナシェイク,240,187,5.78,7.08,26.23
1066,きなこ牛乳,213,168,9.29,9.48,12.06
1067,抹茶ラテ,179.1,156,6.64,6.56,17.77
1068,いちごシェイク,240,154,5.66,7.03,17.83
1069,マンゴーラッシー,200,148,4.8,4.28,23.8
1070,コーラフロート,330,145,1.39,2.41,29.77
1071,レモネード,198.5,145,0.1,0.06,37.66
1072,いちごミルク,199.8,140,5.33,5.71,17.36
1073,マンゴーミルク,200,132,3.9,3.9,21.7
1074,バナナジュース,201,131,3.92,3.88,21.35
1075,マンゴースムージー,200,130,5.5,5.12,15.74
1076,バナナ豆乳,200,130,5.56,2.84,21.5
1077,豆乳ココア,198,129,7.76,5.01,15.23
1078,キウイスムージー,200,124,5.7,5.12,14.04
1079,りんごスムージー,200,124,5.3,5.12,14.58
1080,パイナップルスムージー,200,124,5.5,5.12,13.98
1081,ブルーベリースムージー,200,122,5.44,5.12,13.74
1082,ほうじ茶ラテ,200,118,5.78,6.66,8.44
1083,桃スムージー,200,118,5.5,5.12,12.38
1084,タピオカミルクティー,247,116,1.48,1.53,24.01
1085,グレープフルーツスムージー,200,116,5.64,5.12,12.08
1086,いちごスムージー,200,114,5.64,5.12,11.54
1087,スイカジュース,200.5,108,1.1,0.18,28.13
1088,ヨーグルトスムージー,200,98,5.2,5.06,7.28
1089,人参リンゴジュース,199,92,0.7,0.22,24.22
1090,スイカスムージー,200,90,2.56,2.06,16.66
1091,柿ジュース,200,72,0.74,0.22,18.68
1092,キウイジュース,199,68,1.23,0.14,17.05
1093,生姜湯,179,66,0.09,0.04,17.43
1094,甘酒,80,65,1.36,0.08,14.64
1095,カフェオレ,170,60,2.98,3.23,4.68
1096,ミルクティー,165,58,2.89,3.23,4.16
1097,コーラ,100,46,0.1,0,11.4
1098,サイダー,100,41,0,0,10.2
1099,パイナップルティー,190,23,0.4,0.04,5.51
1100,ミルクココア,4,16,0.3,0.27,3.22
1101,ココア,6,16,1.11,1.3,2.54
1102,コーヒー,150,6,0.3,0,1.05
1103,レモンティー,165,3,0.18,0.02,0.59
1104,生姜紅茶,163,3,0.2,0.02,0.36
1105,紅茶,200,2,0.2,0,0.2
1106,麦茶,100,1,0,0,0.3
1107,玄米茶,100,0,0,0,0
1108,ウーロン茶,100,0,0,0,0.1
1109,水,100,0,0,0,0
1110,麻婆豆腐定食,655.7,734,30.75,27.08,86.75
1111,かりんジュース,200,182,0.16,0.06,46.98
1112,バナナスムージー,200,140,5.74,5.16,18.54
1113,柿スムージー,200,128,5.4,5.16,15.24
1114,パイナップルティー,190,23,0.4,0.04,5.51
1115,レモン水,200,12,0.18,0.1,3.88
1116,アイスコーヒー,260,8,0.39,0,1.4
1117,アイスティー,260,3,0.21,0,0.21
1118,カレーライス,676.3,859,21.03,26.51,129.17
1119,ビーフカレー,676.1,838,21.3,24.14,129.07
1120,フランスパン,240,670,22.56,3.12,138
1121,カレーそば,503.1,553,21.18,16.4,78.03
1122,きつねそば,488,512,23.81,11.91,76.03
1123,鍋焼きうどん,561,499,24.85,11.61,69.96
1124,力そば,489,496,18.63,2.25,98.24
1125,天ぷらそば,493,495,25.59,8.63,76.32
1126,カレーうどん,473.1,492,14.67,15.47,70.26
1127,月見そば,509,471,24.13,8.09,73.55
1128,きつねうどん,458,453,17.31,10.99,68.24
1129,力うどん,459,441,12.16,1.33,90.42
1130,天ぷらうどん,463,435,19.08,7.73,68.57
1131,たぬきそば,449,427,17.24,5.21,76.11
1132,おかめそば,493,426,21.79,2.37,81.74
1133,月見うどん,479,416,17.63,7.19,65.77
1134,山菜そば,514,391,18.61,1.95,76.53
1135,手延そうめん,300,381,10.5,1.8,76.5
1136,かけそば,435,374,16.27,1.83,72.6
1137,スパゲッティ,250,373,13,2.25,71
1138,おかめうどん,463,370,15.28,1.48,73.94
1139,たぬきうどん,419,369,10.73,4.32,68.34
1140,ざるそば,411,366,16.19,1.85,70.94
