No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
2958,生ハムオレンジ,73.5,91,7.64,5.02,4.41
2959,生ハムきゅうり,128.3,89,8.21,5.11,3.28
2960,赤魚焼き,83,84,13.76,2.72,0.08
2961,オクラ長芋,64,53,3.14,0.14,10.52
2962,オクラ味噌汁,199,40,2.21,0.42,6.81
2963,かぼすジャム,21,31,0.06,0.01,8.31
2964,豚キムチマヨネーズ,422,764,19.92,65.24,20.09
2965,豚キムチ,398,593,19.54,47.16,18.98
2966,伊勢海老グラタン,384,556,30.37,33.56,29.88
2967,すき焼き,466.25,490,27.37,25.32,31.05
2968,いわしハンバーグ,197.2,440,27.86,31.22,7.63
2969,こはだ南蛮漬け,262.2,383,34.9,20.74,10.57
2970,伊勢海老マヨネーズ焼き,116.5,377,16.03,33.06,1.95
2971,たらこ卵焼き,201,362,22.07,25.77,6.13
2972,カツオハンバーグ,177.2,344,29.1,20.73,6.98
2973,鱧鍋,704.5,324,31.21,7.61,27.26
2974,ししゃも南蛮漬け,207.2,303,26.85,15.91,10.11
2975,カツオのガーリックバターステーキ,152.6,295,27.16,14.47,9.55
2976,なす南蛮漬け,243.2,287,3.87,12.33,37.23
2977,鰆ムニエル,107.2,273,16.78,19.01,6.06
2978,ぶりの塩焼き,103,258,21.4,17.6,0.3
2979,鱒ムニエル,107.2,254,18.06,16.53,6.06
2980,鰆の照り焼き,135,252,17.59,10.77,14.77
2981,ハタハタ南蛮漬け,199.2,231,17.45,12.59,9.86
2982,さわらホイル焼き,118.6,227,17.11,15.96,2.19
2983,カンパチしゃぶしゃぶ,501,225,27.91,7.52,9.22
2984,鱧照り焼き,135,225,19.35,7.25,14.69
2985,カツオステーキ,139.6,216,26.91,6.32,8.75
2986,海鮮鍋,675.5,216,34.05,1.28,15.74
2987,かつお角煮,167,215,26.02,6.21,8.67
2988,カンパチ照り焼き,135,213,18.31,6.37,14.77
2989,鱒のホイル焼き,118.6,208,18.39,13.48,2.19
